1559610690540, 65860, 532, 398, 508
1559610690554, 65873, 531, 399, 510
1559610690566, 65887, 530, 399, 512
1559610690579, 65899, 529, 400, 514
1559610690593, 65912, 529, 400, 513
1559610690605, 65926, 529, 400, 512
1559610690619, 65939, 530, 400, 510
1559610690632, 65951, 531, 399, 508
1559610690645, 65965, 531, 399, 508
1559610690658, 65978, 531, 400, 509
1559610690671, 65990, 531, 400, 509
1559610690684, 66003, 530, 399, 510
1559610690697, 66017, 529, 399, 510
1559610690710, 66030, 530, 399, 509
1559610690723, 66042, 530, 399, 508
1559610690736, 66056, 530, 399, 508
1559610690748, 66069, 530, 399, 509
1559610690762, 66082, 529, 399, 510
1559610690775, 66095, 529, 399, 512
1559610690788, 66108, 529, 400, 512
1559610690802, 66121, 529, 399, 511
1559610690815, 66134, 530, 399, 511
1559610690827, 66147, 530, 399, 510
1559610690841, 66160, 531, 400, 510
1559610690853, 66173, 531, 399, 509
1559610690866, 66186, 532, 399, 509
1559610690880, 66199, 531, 399, 509
1559610690892, 66212, 531, 399, 510
1559610690905, 66225, 531, 399, 510
1559610690918, 66238, 531, 398, 510
1559610690931, 66251, 531, 399, 510
1559610690944, 66265, 531, 399, 510
1559610690958, 66277, 531, 399, 510
1559610690970, 66290, 531, 400, 511
1559610690984, 66304, 531, 400, 512
1559610690997, 66317, 530, 400, 513
1559610691009, 66329, 530, 400, 513
1559610691023, 66342, 530, 399, 513
1559610691035, 66356, 530, 400, 512
1559610691049, 66368, 531, 399, 511
1559610691062, 66381, 531, 400, 511
1559610691075, 66395, 532, 400, 511
1559610691088, 66408, 532, 400, 511
1559610691100, 66420, 532, 400, 511
1559610691114, 66434, 531, 400, 511
1559610691127, 66447, 531, 400, 512
1559610691140, 66460, 531, 399, 512
1559610691153, 66472, 531, 399, 511
1559610691165, 66486, 532, 399, 510
1559610691179, 66499, 532, 399, 510
1559610691193, 66511, 531, 399, 510
1559610691206, 66525, 531, 399, 510
1559610691219, 66538, 531, 399, 510
1559610691231, 66551, 531, 399, 511
1559610691244, 66564, 530, 399, 511
1559610691257, 66577, 531, 398, 511
1559610691270, 66590, 531, 398, 510
1559610691283, 66603, 531, 398, 510
1559610691296, 66616, 531, 398, 510
1559610691308, 66629, 531, 399, 510
1559610691321, 66642, 530, 399, 511
1559610691335, 66655, 530, 399, 511
1559610691347, 66668, 529, 399, 511
1559610691360, 66681, 529, 399, 511
1559610691374, 66695, 529, 398, 510
1559610691387, 66707, 529, 398, 509
1559610691399, 66720, 529, 398, 508
1559610691414, 66734, 529, 398, 507
1559610691426, 66746, 529, 398, 508
1559610691440, 66759, 529, 399, 508
1559610691453, 66772, 529, 399, 509
1559610691466, 66786, 529, 399, 510
1559610691480, 66798, 530, 399, 510
1559610691492, 66811, 530, 399, 510
1559610691505, 66825, 530, 399, 510
1559610691517, 66837, 531, 399, 509
1559610691531, 66850, 531, 399, 509
1559610691544, 66864, 531, 399, 510
1559610691558, 66877, 532, 400, 510
1559610691570, 66889, 532, 400, 509
1559610691582, 66903, 532, 400, 510
1559610691596, 66916, 532, 400, 510
1559610691608, 66929, 532, 400, 510
1559610691622, 66941, 533, 400, 510
1559610691634, 66955, 533, 400, 510
1559610691648, 66968, 533, 400, 510
1559610691662, 66980, 533, 400, 510
1559610691675, 66994, 533, 400, 509
1559610691687, 67007, 533, 400, 509
1559610691700, 67020, 532, 400, 509
1559610691713, 67033, 532, 400, 509
1559610691726, 67046, 531, 400, 509
1559610691740, 67059, 531, 400, 509
1559610691752, 67072, 531, 401, 510
1559610691766, 67085, 531, 401, 510
1559610691779, 67098, 530, 401, 510
1559610691792, 67111, 531, 401, 508
1559610691804, 67124, 531, 401, 508
1559610691817, 67137, 531, 400, 507
1559610691831, 67150, 531, 400, 507
1559610691843, 67164, 531, 400, 508
1559610691856, 67176, 531, 400, 508
1559610691869, 67189, 532, 400, 509
1559610691882, 67203, 532, 400, 509
1559610691895, 67215, 532, 400, 508
1559610691908, 67228, 532, 399, 507
1559610691921, 67241, 531, 399, 507
1559610691934, 67255, 531, 400, 508
1559610691947, 67267, 531, 400, 508
1559610691961, 67280, 530, 400, 509
1559610691973, 67294, 530, 400, 509
1559610691986, 67306, 530, 400, 510
1559610692000, 67319, 530, 399, 509
1559610692013, 67333, 530, 399, 507
1559610692026, 67346, 531, 399, 506
1559610692038, 67358, 531, 398, 506
1559610692052, 67372, 531, 399, 507
1559610692064, 67385, 531, 399, 509
1559610692078, 67398, 531, 399, 510
1559610692090, 67410, 530, 400, 511
1559610692104, 67424, 530, 399, 511
1559610692118, 67437, 531, 399, 510
1559610692130, 67449, 531, 399, 509
1559610692142, 67463, 531, 399, 508
1559610692155, 67476, 531, 399, 508
1559610692169, 67489, 531, 399, 508
1559610692182, 67502, 531, 400, 509
1559610692195, 67515, 530, 400, 510
1559610692207, 67528, 530, 400, 511
1559610692221, 67540, 530, 400, 510
1559610692235, 67554, 530, 400, 510
1559610692247, 67567, 530, 399, 509
1559610692260, 67580, 530, 399, 509
1559610692273, 67593, 530, 399, 509
1559610692287, 67606, 530, 399, 510
1559610692299, 67619, 530, 399, 510
1559610692312, 67633, 530, 399, 509
1559610692325, 67645, 531, 399, 510
1559610692338, 67658, 530, 399, 509
1559610692351, 67672, 531, 399, 509
1559610692365, 67684, 531, 399, 509
1559610692377, 67697, 531, 399, 509
1559610692391, 67710, 531, 399, 509
1559610692404, 67724, 530, 399, 509
1559610692417, 67736, 531, 399, 510
1559610692430, 67749, 530, 399, 510
1559610692442, 67763, 531, 399, 510
1559610692455, 67775, 531, 399, 509
1559610692468, 67788, 531, 399, 509
1559610692482, 67802, 531, 399, 510
1559610692494, 67815, 531, 399, 509
1559610692508, 67827, 531, 399, 509
1559610692520, 67841, 531, 399, 509
1559610692534, 67854, 532, 399, 508
1559610692547, 67867, 533, 399, 509
1559610692560, 67879, 533, 399, 509
1559610692572, 67893, 533, 399, 509
1559610692587, 67906, 532, 399, 509
1559610692599, 67918, 531, 399, 509
1559610692612, 67932, 531, 399, 509
1559610692625, 67945, 530, 399, 509
1559610692638, 67958, 530, 400, 509
1559610692651, 67971, 530, 400, 509
1559610692664, 67984, 530, 400, 509
1559610692677, 67997, 530, 400, 509
1559610692690, 68009, 530, 399, 509
1559610692702, 68023, 530, 400, 510
1559610692716, 68036, 531, 400, 510
1559610692728, 68049, 531, 400, 510
1559610692742, 68062, 531, 400, 510
1559610692754, 68075, 532, 400, 509
1559610692768, 68088, 532, 400, 509
1559610692781, 68101, 532, 400, 509
1559610692794, 68114, 532, 399, 509
1559610692808, 68127, 531, 400, 509
1559610692820, 68141, 531, 400, 509
1559610692833, 68153, 531, 400, 509
1559610692847, 68166, 531, 400, 509
1559610692859, 68179, 532, 399, 509
1559610692872, 68193, 531, 399, 508
1559610692886, 68205, 531, 399, 508
1559610692898, 68218, 532, 398, 508
1559610692913, 68232, 531, 398, 508
1559610692925, 68244, 531, 399, 508
1559610692937, 68257, 531, 399, 508
1559610692951, 68271, 531, 399, 509
1559610692963, 68284, 531, 400, 510
1559610692977, 68296, 531, 399, 509
1559610692991, 68310, 531, 400, 508
1559610693002, 68323, 531, 399, 508
1559610693016, 68335, 530, 399, 509
1559610693029, 68348, 530, 400, 509
1559610693042, 68362, 531, 400, 510
1559610693056, 68375, 531, 400, 510
1559610693068, 68387, 531, 400, 509
1559610693081, 68401, 532, 400, 509
1559610693094, 68414, 532, 399, 509
1559610693107, 68427, 532, 399, 509
1559610693121, 68440, 532, 399, 508
1559610693134, 68453, 532, 399, 509
1559610693146, 68466, 532, 399, 509
1559610693159, 68478, 532, 398, 508
1559610693173, 68492, 532, 398, 508
1559610693187, 68505, 533, 398, 508
1559610693198, 68518, 532, 398, 509
1559610693210, 68531, 532, 399, 510
1559610693224, 68544, 532, 399, 510
1559610693237, 68557, 531, 399, 510
1559610693251, 68570, 531, 399, 509
1559610693264, 68583, 531, 400, 510
1559610693276, 68596, 532, 400, 510
